Player,Statistic,Per 90,Percentile
Memphis,Tackles,0.58,5
Memphis,Interceptions,0.12,4
Memphis,Blocks,0.35,3
Memphis,Clearances,0.46,59
Memphis,Aerials won,0.81,78
Chadi-Riad,,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Chadi-Riad,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Chadi-Riad,2020-2021,17,Sabadell,es ESP,2. Segunda División,19th,1,0,6,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Chadi-Riad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chadi-Riad,2022-2023,19,Barcelona,es ESP,1. La Liga,1st,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Chadi-Riad,2 Seasons,2 Clubs,,2 Leagues,,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Chadi-Riad,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Chadi-Riad,Barcelona (1 Season),,1 League,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Chadi-Riad,Sabadell (1 Season),,1 League,,1,0,6,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Chadi-Riad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chadi-Riad,La Liga (1 Season),,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Chadi-Riad,Segunda División (1 Season),,,,1,0,6,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Estanis,,,Playing Time,Performance,Expected,Progression,Per 90 Minutes,
Estanis,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Estanis,2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Estanis,2022-2023,18,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Estanis,2 Seasons,1 Club,,1 League,,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Pierre-Emerick-Aubameyang,Statistic,Per 90,Percentile
Pierre-Emerick-Aubameyang,Non-Penalty Goals,0.50,82
Pierre-Emerick-Aubameyang,Non-Penalty xG,0.53,88
Pierre-Emerick-Aubameyang,Shots Total,2.81,66
Pierre-Emerick-Aubameyang,Assists,0.10,36
Pierre-Emerick-Aubameyang,xAG,0.09,25
Pierre-Emerick-Aubameyang,npxG + xAG,0.61,78
Pierre-Emerick-Aubameyang,Shot-Creating Actions,1.45,5
Pierre-Emerick-Aubameyang,,,
Pierre-Emerick-Aubameyang,Passes Attempted,19.75,34
Pierre-Emerick-Aubameyang,Pass Completion %,73.6%,69
Pierre-Emerick-Aubameyang,Progressive Passes,1.25,16
Pierre-Emerick-Aubameyang,Progressive Carries,1.05,34
Pierre-Emerick-Aubameyang,Successful Take-Ons,0.25,6
Pierre-Emerick-Aubameyang,Touches (Att Pen),4.56,40
Pierre-Emerick-Aubameyang,Progressive Passes Rec,6.32,51
Pierre-Emerick-Aubameyang,,,
Pierre-Emerick-Aubameyang,Tackles,0.10,1
Pierre-Emerick-Aubameyang,Interceptions,0.20,59
Pierre-Emerick-Aubameyang,Blocks,0.60,48
Pierre-Emerick-Aubameyang,Clearances,0.50,30
Pierre-Emerick-Aubameyang,Aerials won,0.35,5
